,Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages
0,705,STANDARD,Aibonito,PR,PRIMARY,18.14,-66.26,NA-US-PR-AIBONITO,False,,,
1,610,STANDARD,Anasco,PR,PRIMARY,18.28,-67.14,NA-US-PR-ANASCO,False,,,
2,611,PO BOX,Angeles,PR,PRIMARY,18.28,-66.79,NA-US-PR-ANGELES,False,,,
3,612,STANDARD,Arecibo,PR,PRIMARY,18.45,-66.73,NA-US-PR-ARECIBO,False,,,
4,601,STANDARD,Adjuntas,PR,PRIMARY,18.16,-66.72,NA-US-PR-ADJUNTAS,False,,,
5,631,PO BOX,Castaner,PR,PRIMARY,18.19,-66.82,NA-US-PR-CASTANER,False,,,
6,602,STANDARD,Aguada,PR,PRIMARY,18.38,-67.18,NA-US-PR-AGUADA,False,,,
7,603,STANDARD,Aguadilla,PR,PRIMARY,18.43,-67.15,NA-US-PR-AGUADILLA,False,,,
8,604,PO BOX,Aguadilla,PR,PRIMARY,18.43,-67.15,NA-US-PR-AGUADILLA,False,,,
9,605,PO BOX,Aguadilla,PR,PRIMARY,18.43,-67.15,NA-US-PR-AGUADILLA,False,,,
10,703,STANDARD,Aguas Buenas,PR,PRIMARY,18.25,-66.1,NA-US-PR-AGUAS BUENAS,False,,,
11,704,STANDARD,Aguirre,PR,PRIMARY,17.96,-66.22,NA-US-PR-AGUIRRE,False,,,
12,7675,STANDARD,Westwood,NJ,PRIMARY,40.98,-74.03,NA-US-NJ-WESTWOOD,False,13245.0,24083.0,1089095041.0
13,7677,STANDARD,Woodcliff Lake,NJ,PRIMARY,41.02,-74.05,NA-US-NJ-WOODCLIFF LAKE,False,2945.0,5471.0,325436960.0
14,7885,STANDARD,Wharton,NJ,PRIMARY,40.89,-74.58,NA-US-NJ-WHARTON,False,5273.0,8999.0,240827990.0
15,7981,STANDARD,Whippany,NJ,PRIMARY,40.82,-74.41,NA-US-NJ-WHIPPANY,False,4585.0,8057.0,292096795.0
16,7999,STANDARD,Whippany,NJ,PRIMARY,40.82,-74.41,NA-US-NJ-WHIPPANY,False,,,
17,8888,PO BOX,Whitehouse,NJ,PRIMARY,40.62,-74.76,NA-US-NJ-WHITEHOUSE,False,,,
18,8889,STANDARD,Whitehouse Station,NJ,PRIMARY,40.6,-74.76,NA-US-NJ-WHITEHOUSE STATION,False,4691.0,8570.0,401312434.0
19,7095,STANDARD,Woodbridge,NJ,PRIMARY,40.55,-74.28,NA-US-NJ-WOODBRIDGE,False,10018.0,17272.0,528315021.0
20,7481,STANDARD,Wyckoff,NJ,PRIMARY,40.99,-74.16,NA-US-NJ-WYCKOFF,False,8079.0,15208.0,896273759.0
21,10451,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,19434.0,31477.0,471446942.0
22,10452,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,33517.0,56277.0,723508523.0
23,10453,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,34152.0,57691.0,699611756.0
24,10454,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,13139.0,22387.0,273119576.0
25,10455,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,14914.0,25139.0,325274189.0
26,10456,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,34793.0,58750.0,732907466.0
27,10457,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,29023.0,48779.0,614273091.0
28,10458,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,29920.0,50085.0,693447254.0
29,10459,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,17977.0,30434.0,414021653.0
30,10460,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,23466.0,39507.0,531807385.0
31,10461,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,21862.0,35421.0,839765651.0
32,10462,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,35620.0,57854.0,1197519842.0
33,10463,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,31592.0,50313.0,1284853119.0
34,10464,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,2131.0,3381.0,108256016.0
35,10465,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,18686.0,30798.0,817052868.0
36,10466,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,29153.0,47658.0,924776075.0
37,10467,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,39540.0,64907.0,1114305720.0
38,10468,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,34706.0,55824.0,840612915.0
39,10469,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,28964.0,47625.0,1017556583.0
40,10470,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,7000.0,10880.0,260963512.0
41,10471,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,9876.0,15606.0,623827705.0
42,10472,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,26025.0,43761.0,630416228.0
43,10473,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,26122.0,42812.0,817850845.0
44,10474,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,4369.0,7377.0,97578251.0
45,10475,STANDARD,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,21124.0,31659.0,740068715.0
46,10499,UNIQUE,Bronx,NY,PRIMARY,40.84,-73.87,NA-US-NY-BRONX,False,,,
47,10001,STANDARD,New York,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,False,12534.0,16553.0,1031960117.0
48,10002,STANDARD,New York,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,False,45236.0,70604.0,1394042364.0
49,10003,STANDARD,New York,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,False,28817.0,36569.0,
50,10004,STANDARD,New York,NY,PRIMARY,40.71,-73.99,NA-US-NY-NEW YORK,False,1967.0,2909.0,333623384.0
