id,url,img,info,price,condition,description,imgurl,postdate,time_since_posting
683921493,https://offerup.com/item/detail/683921493/,https://photos.offerup.com/0ZIfZWxYxxGHPLzsWf58pn4m99o=/300x441/ef2c/ef2ca190d3d24fab9ae59785d349c171.jpg,"['dresser and end tables', '$120.00', 'lanham, md']",120.0,Used (normal wear),Dresser and end tables. Make an offer!,https://photos.offerup.com/morKO84CyXh0dLYFl8TJHDwyYUo=/600x882/ef2c/ef2ca190d3d24fab9ae59785d349c171.jpg,2019-05-27 19:55:32.294342,14.0
682699616,https://offerup.com/item/detail/682699616/,https://photos.offerup.com/WXwmsyvDU8mGjKsKLlSN7vW6PRI=/300x400/9c23/9c238fce9546424da622be2bf4d5149e.jpg,"['entire living room (sofa, love seat...', '$250.00', 'washington, dc']",250.0,Used (normal wear),"Used Chocolate and camel sofa, love seat, lamps , 2 side tables, center table and decor . You must be available to pick up dresser from my apartment and remove it without my help.. Make an offer!",https://photos.offerup.com/_7smxsKNT-vSIgSYhv_1p6uYlDE=/600x800/9c23/9c238fce9546424da622be2bf4d5149e.jpg,2019-05-27 19:55:32.294342,14.0
682370261,https://offerup.com/item/detail/682370261/,https://photos.offerup.com/YJFpRIxoSNMSPAdJOQBzMdubHXo=/300x400/e205/e2058a726f624d51bb9b9334dffb0f22.jpg,"['we have several items: antique dres...', '$4,500.00', 'washington, dc']",4500.0,Used (normal wear),"Normal wear if you're interested please let me know asap! Everything must go June 4,  2019. Make an offer!",https://photos.offerup.com/AFjD4GMZRz8NM9zTQ8A5H0hz04E=/600x800/e205/e2058a726f624d51bb9b9334dffb0f22.jpg,2019-05-27 19:55:32.294342,14.0
676743627,https://offerup.com/item/detail/676743627/,https://photos.offerup.com/CrucPFW4t5OjhUVhdidN0uXSmHA=/300x400/8777/87777bc45c9a44c48257caa3b66a8bee.jpg,"['vintage bedroom', '$0.00', 'baltimore, md']",0.0,,,,,
666381801,https://offerup.com/item/detail/666381801/,https://photos.offerup.com/RLUJOXg6loh669lz7rOXwwLjgtg=/300x633/7781/7781a58189c14448be4d23b9b4a6e469.jpg,"['shabby chic side table', '$95.00', 'catonsville, md']",95.0,Used (normal wear),"Distressed, shabby chic/boho dresser (could be used as a dresser, hall table, nightstand, etc) with three drawers.  Drawers are 7.5 inches deep and the frame and handles are metal. It's a beautiful, study piece of furniture that is in great condition.  Sad to see it go, but am trying to downsize for moving out of MD!  Delivery available as long as you're within an hour's drive from Baltimore!

Measurements:
Length = 32.25 inches
Height = 30.25 inches
Depth = 13.75 inches. Make an offer!",https://photos.offerup.com/rt3HvBfVQ41HNnZeKDOGv9JMNg8=/600x1266/7781/7781a58189c14448be4d23b9b4a6e469.jpg,2019-05-11 19:55:32.294342,30.0
691119728,https://offerup.com/item/detail/691119728/,https://photos.offerup.com/th28gFhfSpAQ7MAqZSSnhHBdYzU=/300x300/f18e/f18e48285bc04db584ad6325b1179578.jpg,"['dressers', '$250.00', 'baltimore, md']",250.0,Used (normal wear),"One dresser with mirror
One night table
One chester draw. Make an offer!",https://photos.offerup.com/h0FZnjynH8gWp897B5EVXFNkV4w=/600x600/f18e/f18e48285bc04db584ad6325b1179578.jpg,2019-06-07 19:55:32.294342,3.0
690369531,https://offerup.com/item/detail/690369531/,https://photos.offerup.com/PboyDnntdPdukCl3naOuFmf-GqI=/300x617/52d6/52d67d94eb9d4dc0bd93b96b4242f100.jpg,"['$10 or best offer: blonde-colored w...', '$10.00', 'washington, dc']",10.0,Used (normal wear),"Mini dresser drawer,  blonde colored wood.  Can be used as bedroom end table, for storage,  or as a TV stand. Dimensions: 26 inches long by 20 inches wide by 22 inches high. Make an offer!",https://photos.offerup.com/b74vkMBmerN5BGQZpqCBUurCEIw=/600x1234/52d6/52d67d94eb9d4dc0bd93b96b4242f100.jpg,2019-06-05 19:55:32.294342,5.0
690047369,https://offerup.com/item/detail/690047369/,https://photos.offerup.com/Ezt3cXqr9OdjBK-VVBlPWXNkFZA=/300x225/7164/716484bc454b4e0cb831afaddf47dca9.jpg,"['dresser with changing table', '$150.00', 'bowie, md']",150.0,Used (normal wear),Solid wood dresser with removal changing table. Used for less than six months. Removed legs to move it. Comes with four solid wooden legs.. Make an offer!,https://photos.offerup.com/p90QXz3inMIYtI1AlQdIgAtUwbw=/600x450/7164/716484bc454b4e0cb831afaddf47dca9.jpg,2019-06-05 19:55:32.294342,5.0
683983652,https://offerup.com/item/detail/683983652/,https://photos.offerup.com/C_h4QFXeve1X4W4-h_gmvpGNjOU=/300x616/b2e7/b2e742fda511403cb915bd93656c7ce3.jpg,"['dresser, mirrors and matching end t...', '$240.00', 'lanham, md']",240.0,Used (normal wear)," Matching Medium Brown Dresser 9 Drawers, 2 End Tables with 2 Drawers in Each and 2 Mirrors. Make an offer!",https://photos.offerup.com/MOw5V-sS-c2qm0-HkExI6Jyrwuo=/540x1110/b2e7/b2e742fda511403cb915bd93656c7ce3.jpg,2019-05-27 19:55:32.294342,14.0
673117974,https://offerup.com/item/detail/673117974/,https://photos.offerup.com/ZZ1xjR8OhxlrWE4XLo_h30J3_Jk=/300x533/00d1/00d185aef45b410b949709210de9ff03.jpg,"['bedside end table/dresser', '$60.00', 'bel air, md']",60.0,Used (normal wear),"Nice end table for your bed, drawers and everything work perfectly and can hold a lot of weight if your a clutter fiend like me haha, couple of scratches here and there but overall in good condition and functioning piece. Flexible on price, also have several other pieces that are part of the set if your interested . Make an offer!",https://photos.offerup.com/fwrHmnmxQSr8nbJFnxq4iY0upsc=/600x1066/00d1/00d185aef45b410b949709210de9ff03.jpg,2019-05-11 19:55:32.294342,30.0
