id,url,img,info,condition,description,imgurl,postdate,time_since_posting,price
693530023,https://offerup.com/item/detail/693530023/,https://photos.offerup.com/suXWi0Km4gmJfwCGSsQO2uLhn9E=/300x225/82b5/82b517e2f7a9425bb5e8e652c7fe9309.jpg,"['dining room table', 'sold', 'college park, md']",Used (normal wear),Beautiful dining room table. Seating for six. Has minor scratches from normal use.. Make an offer!,https://photos.offerup.com/shEa7Y_tFg83ckOCUm6NdJZ8NSE=/600x450/82b5/82b517e2f7a9425bb5e8e652c7fe9309.jpg,2019-06-11 18:40:11.202829,4.0,150.0
693203572,https://offerup.com/item/detail/693203572/,https://photos.offerup.com/_XiWJbG-FDhWkCKS-0fBo8p0LPc=/300x533/0842/0842ce62d06347a5ad2904a552ac83c3.jpg,"['sleek marble design table set', 'sold', 'upper marlboro, md']",Used (normal wear),"Marble-Design table with black chairs included. Great condition, no rips or tears.. Make an offer!",https://photos.offerup.com/ZTiDSZvsPKMCYyiXUNnXUSecoUU=/600x1067/0842/0842ce62d06347a5ad2904a552ac83c3.jpg,2019-06-10 18:40:11.202829,5.0,200.0
693045111,https://offerup.com/item/detail/693045111/,https://photos.offerup.com/oVQv2E7swNu7mKNdo4V-WM2rxeY=/300x432/c962/c9625b2cd8f241c888434f4b8231e267.jpg,"['table black', 'sold', 'silver spring, md']",Used (normal wear),Table black. Make an offer!,https://photos.offerup.com/8j5huy1tDoutzeIuAxpGpuMJW04=/600x864/c962/c9625b2cd8f241c888434f4b8231e267.jpg,2019-06-10 18:40:11.202829,5.0,10.0
692548114,https://offerup.com/item/detail/692548114/,https://photos.offerup.com/OUHvFGMPRjVvbpaat0V-_cN_HOk=/300x399/6100/6100e716d1d045b382fc9f2ef9e607ae.jpg,"['this end up furniture set or sold s...', '$500.00', 'baltimore, md']",Used (normal wear),"Large set of This End Up furniture
Includes: sofa, love seat, 2 chairs with ottomans, 2 end tables, and Bunk Beds

Sold as set or separately. Make an offer!",https://photos.offerup.com/_OxzNGL1nnbQfKYPLSiuM4b-_1M=/600x799/6100/6100e716d1d045b382fc9f2ef9e607ae.jpg,2019-06-09 18:40:11.202829,6.0,500.0
692186268,https://offerup.com/item/detail/692186268/,https://photos.offerup.com/nfzMEkEFsjuw-T3WXzGmTqaeWNk=/300x225/3e74/3e74ec0dd0f944efa310dea40b670ddb.jpg,"['dining table w/extender & 4 chairs', 'sold', 'washington, dc']",Used (normal wear),"Dining table with center extender and 4 chairs included! The extender can be used to push table to 64” long, shortened to 44” long circular table. The chair covers are dirty, but can be washed or replaced for $5/piece or less.. Make an offer!",https://photos.offerup.com/blEYYq0Z8o0pj8rVCTkDT2-uHMg=/600x450/3e74/3e74ec0dd0f944efa310dea40b670ddb.jpg,2019-06-09 18:40:11.202829,6.0,35.0
692102198,https://offerup.com/item/detail/692102198/,https://photos.offerup.com/P5_Y3SIz9ZTwkTDfd8ZzgQ5Wv0o=/300x400/882f/882f0bfe9e824157981a20b8ca929f28.jpg,"['square patio table with glazed glas...', 'sold', 'essex, md']",Used (normal wear),"Square table for patio, out door. Good condition!. Make an offer!",https://photos.offerup.com/LJTBxMfSw1GUSkpeVo9K8W-FT8k=/600x800/882f/882f0bfe9e824157981a20b8ca929f28.jpg,2019-06-08 18:40:11.202829,7.0,45.0
691293931,https://offerup.com/item/detail/691293931/,https://photos.offerup.com/BXupQnUdaZfIrvf_oBx2jGKJDvI=/300x400/a66f/a66ff5b07fc545a399269f863cc1940e.jpg,"['wooden table with hidden cabinet in...', 'sold', 'baltimore, md']",Open box (never used),Wooden table with hidden cabinet inside. Make an offer!,https://photos.offerup.com/f_cVdEwsfS0do_QXu4UB_WzirSA=/600x800/a66f/a66ff5b07fc545a399269f863cc1940e.jpg,2019-06-08 18:40:11.202829,7.0,50.0
692453467,https://offerup.com/item/detail/692453467/,https://photos.offerup.com/__hXZ4iIjbdLTO6uYA18Dbnevyc=/120x160/b3f9/b3f907f582a34d9b808973259faaa3b7.jpg,"['table', 'sold', 'baltimore, md']",Used (normal wear),Table I no longer want because I'm moving and don't want to take it with me. Make an offer!,https://photos.offerup.com/__hXZ4iIjbdLTO6uYA18Dbnevyc=/120x160/b3f9/b3f907f582a34d9b808973259faaa3b7.jpg,2019-06-09 18:40:11.202829,6.0,15.0
693300387,https://offerup.com/item/detail/693300387/,https://photos.offerup.com/CqVqjk2jVLfRIJUNRHi9LbfxupY=/300x400/5a2b/5a2b54a38dbe457d8a84e8a1aed6f1c1.jpg,"['2 side tables', 'sold', 'reisterstown, md']",Used (normal wear),"Grey top and brown legs side tables 
. Make an offer!",https://photos.offerup.com/4hlfL4gK78ZOawywISQoLsVlFv8=/600x800/5a2b/5a2b54a38dbe457d8a84e8a1aed6f1c1.jpg,2019-06-11 18:40:11.202829,4.0,40.0
693045785,https://offerup.com/item/detail/693045785/,https://photos.offerup.com/FCYJmHYMzItzRcpC_j4cJShTICg=/300x400/9fbe/9fbe4f1c6cc94e778122afe3862daa1c.jpg,"['wood table', 'sold', 'silver spring, md']",Used (normal wear),wood table. Make an offer!,https://photos.offerup.com/ls5cSsduoHuRnjiu76jHWoVQuaY=/600x800/9fbe/9fbe4f1c6cc94e778122afe3862daa1c.jpg,2019-06-10 18:40:11.202829,5.0,10.0
690589770,https://offerup.com/item/detail/690589770/,https://photos.offerup.com/l7aErtjV-UXlUl1dtWyZVsPEllI=/300x399/8f77/8f770a1377ee4741a004e5112c1b5875.jpg,"['skovby table and chairs', 'sold', 'severn, md']",Used (normal wear),"Skovby table and chairs, will sell separate. 
. Make an offer!",https://photos.offerup.com/IfPepv3u69ZrffJ3KZD247IQRD0=/600x799/8f77/8f770a1377ee4741a004e5112c1b5875.jpg,2019-06-08 18:40:11.202829,7.0,115.0
686043871,https://offerup.com/item/detail/686043871/,https://photos.offerup.com/mFIQT5n0l9Di14fwRPT_FKND6V4=/300x225/f73f/f73f39d9c63e415caa572a7512349097.jpg,"['threshold metal mesh folding patio ...', 'sold', 'baltimore, md']",Used (normal wear),"32 inches wide
27.75 inches tall 

Two chairs are included in price . Make an offer!",https://photos.offerup.com/26z9y2j0L_w1VkAf8XsKCgMaVlg=/600x450/f73f/f73f39d9c63e415caa572a7512349097.jpg,2019-06-01 18:40:11.202829,14.0,70.0
