id,url,img,info,price,condition,description,imgurl,postdate,time_since_posting
697015601,https://offerup.com/item/detail/697015601/,https://photos.offerup.com/2dTalQzD741bd8dY-p_ImMfTfUY=/300x486/5209/5209e52b761c4b54837f6c4903b099a4.jpg,"['dark brown wooden table', '$400.00', 'bell, ca']",400.0,New (never used),"Dark Brown Wooden Table with 4 chairs that have are made out of wood with the seats being made out of leather
Perfect for a family of 4
Free local delivery
4th of July Sale. Make an offer!",https://photos.offerup.com/QiL0TfKAg1uSus1LaytvcQDqeDc=/600x972/5209/5209e52b761c4b54837f6c4903b099a4.jpg,2019-06-17 14:18:37.101913,0.0027777777777777775
697010861,https://offerup.com/item/detail/697010861/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['grey and white rocker and ottoman', '$40.00', 'torrance, ca']",40.0,Used (normal wear),"Grey microfiber fabric. White chair and ottoman frame. Chair and ottoman both glide. Side pockets on chair. 
No smoking home. 

Pick up only, no shipping on this item
. Make an offer!",https://photos.offerup.com/9Kml3Dk_cVKkS-j5ZMTWdDpeYHw=/600x800/a79d/a79d0db1395f49a38842a5eb6d6c43ab.jpg,2019-06-17 14:11:37.101913,0.007638888888888888
697010313,https://offerup.com/item/detail/697010313/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['5 solid wood chairs good condition', '$100.00', 'anaheim, ca']",100.0,Used (normal wear),5 solid wood chairs good condition. Make an offer!,https://photos.offerup.com/LAlrpOLWX3xaiv3t-yI01w53Iao=/600x800/3a45/3a45d755a1c84779ac23cb9d650ae1fa.jpg,2019-06-17 14:10:37.101913,0.008333333333333331
695100311,https://offerup.com/item/detail/695100311/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['promoted', 'wood chaise lounge chair with black...', '$145.00', 'newport beach, ca']",145.0,Used (normal wear),"Overall: 23.82""W x 77.83""D x 14""-37.4""H, 74.96 lbs.
Leg height: 8.5""H

Excellent condition. 
Paid: $200 for chaise lounge chair
$50 for black cushion
$20 for cover 
That’s $270, not including tax.

Cushion is in perfect condition.

Asking: $175. Make an offer!",https://photos.offerup.com/Zhqwtej8HNpZI6mlHOCd4wP1HAo=/600x450/7b05/7b05ecba5cf24e44a2718011596c7904.jpg,2019-06-14 14:22:37.101913,3.0
697007768,https://offerup.com/item/detail/697007768/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['brand new outdoor zero gravity orbi...', '$40.00', 'walnut, ca']",40.0,New (never used),New in Box . Make an offer!,https://photos.offerup.com/Gp3sqQjwKTZfBRFkhDYYgnnQncs=/600x800/6365/6365657bf60f489a9de689d211905e93.jpg,2019-06-17 14:06:37.101913,0.01111111111111111
697006346,https://offerup.com/item/detail/697006346/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['set of 2 outdoor patio chaise loung...', '$140.00', 'walnut, ca']",140.0,New (never used),New in Box . Make an offer!,https://photos.offerup.com/TgjjjpoVQ6aFisYmy0WHJpXDqeU=/600x600/be72/be72c0164cbb4786951d6fae12e213c2.jpg,2019-06-17 14:04:37.101913,0.012499999999999999
697001584,https://offerup.com/item/detail/697001584/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['white chair', '$30.00', 'anaheim, ca']",30.0,Used (normal wear),White chair. Make an offer!,https://photos.offerup.com/WRUn08KXi_-97zKCQv93x3Jpghs=/600x802/c571/c57162c9981d4a2a92da6cf4a4a1a113.jpg,2019-06-17 13:58:37.101913,0.016666666666666663
696997335,https://offerup.com/item/detail/696997335/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['patio/ barstool chairs (only)', '$20.00', 'burbank, ca']",20.0,Used (normal wear),"Patio / Barstool Chairs ONLY (set of 2)

40” tall 
Seating back 12” tall
Seating area ~ 13.5” x 13.5”

*NO DELIVERY * PICK UP ONLY *. Make an offer!",https://photos.offerup.com/fWvY6bHfwSz4Ehoi3p6ZktJNWt8=/600x800/f25f/f25f204f08c247639432fe35d8625482.jpg,2019-06-17 13:50:37.101913,0.02222222222222222
696993836,https://offerup.com/item/detail/696993836/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['patio dining chair', '$110.00', 'los angeles, ca']",110.0,Open box (never used),Patio dining chair. Make an offer!,https://photos.offerup.com/gKO7G1_-KH5LftZn01Zc9I7KN4w=/600x665/b422/b42223e5962f49d685e937b2ccf51cd2.jpg,2019-06-17 13:45:37.101913,0.02569444444444444
696993427,https://offerup.com/item/detail/696993427/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['serta chair', '$90.00', 'los angeles, ca']",90.0,Open box (never used),Serta chair. Make an offer!,https://photos.offerup.com/nThYeH25qPwcWdteegXMjql4wz4=/600x1066/ed5d/ed5dbc595017413480480a6483383e85.jpg,2019-06-17 13:44:37.101913,0.026388888888888885
