id,url,img,info,price,condition,description,imgurl,postdate,time_since_posting
696829920,https://offerup.com/item/detail/696829920/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['large cherry wood dresser with mirr...', '$395.00', 'redondo beach, ca']",395.0,Used (normal wear),"Beautiful large dresser with cherry finish, ALL WOOD!! Includes large matching mirror.

7 drawers - lots of storage space

Some scratches from normal use.

Buyer to pickup, cash only. Make an offer!",https://photos.offerup.com/aUT2XRf_DGxQSgM6sN4nJZht2PA=/600x773/c9c5/c9c5c803c3594365b722b35dbd05f889.jpg,2019-06-17 01:49:39.816457,0.009027777777777777
696818891,https://offerup.com/item/detail/696818891/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['cabinets', '$100.00', 'newport beach, ca']",100.0,Used (normal wear),Dresser with shelves . Make an offer!,https://photos.offerup.com/ALQlVkuPrnHTbGZrO5fTlb5irV0=/600x600/5e7d/5e7d97c2a902449882c193866b8de365.jpg,2019-06-17 01:02:39.816457,0.04166666666666666
696817206,https://offerup.com/item/detail/696817206/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dresser for sale', '$700.00', 'inglewood, ca']",700.0,Used (normal wear),In very good conditions . Make an offer!,https://photos.offerup.com/5sWN7pkcFzpo89V3e5y5JQWgjeA=/600x800/d884/d884717b4fb94efc89c43b82ef7acb22.jpg,2019-06-17 01:02:39.816457,0.04166666666666666
696524979,https://offerup.com/item/detail/696524979/,https://photos.offerup.com/S9oifvXglrmff7T-CIxpgcjguMQ=/300x441/9063/9063f08c122c4547ab9dc375859c7a1a.jpg,"['wood dresser, with mirror, dresser ...', '$2,000.00', 'los angeles, ca']",2000.0,Used (normal wear),"Had this dresser for less than a year trying to get rid of the entire set, headboard, nightstand, and dresser. Minor scratches, nearly new conditions. $2000 OBO.. Make an offer!",https://photos.offerup.com/832jd1EieAf1CsvV1lyLbrQd6sU=/600x882/9063/9063f08c122c4547ab9dc375859c7a1a.jpg,2019-06-16 15:02:39.816457,0.4583333333333333
664598957,https://offerup.com/item/detail/664598957/,https://photos.offerup.com/LSKzsYsbP0d-HDw7PtIHoJIPbOQ=/300x533/fa7e/fa7ec5fc6a834e9eab368840945e38c1.jpg,"['promoted', 'cal king bedroom set', '$999.00', 'los angeles, ca']",999.0,Reconditioned/Certified,"Bedroom set has bed, Armoire. Triple dresser and 1 nite stand. Some of the drawer pulls are missing. Great condition. Armoire can be used to hang clothing, house a t.v. or store folded clothing. Asking $999.00 obo. Make an offer!",https://photos.offerup.com/myrF2QWn39aLYisMSSavNlwpNZU=/600x1066/fa7e/fa7ec5fc6a834e9eab368840945e38c1.jpg,2019-05-18 02:02:39.816457,30.0
696829937,https://offerup.com/item/detail/696829937/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['mirror for a dresser', '$20.00', 'pomona, ca']",20.0,Used (normal wear),In great condition . Make an offer!,https://photos.offerup.com/J1jORpODnwxQ-TqiEqVQD_pcj74=/600x800/5c45/5c45bdc8d8e34aa4bf891afb82cc767c.jpg,2019-06-17 01:35:39.816457,0.01875
696826666,https://offerup.com/item/detail/696826666/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['bedroom set - 5 pieces', '$450.00', 'los angeles, ca']",450.0,Used (normal wear),"Bedroom set five pieces. Set includes twin bed with pullout bottom drawer, tall dresser, night stand, TV stand and computer desk with shelves.  Solid cherry wood construction. Great quality solid wood. The furniture does have wear but price reflects this. Message me if you want separate pieces for price. Make an offer!",https://photos.offerup.com/rUhFzUl1--CVGFDuYFidrF_umE8=/600x800/68f8/68f8ea7de6a34d798ec4f66786f014a7.jpg,2019-06-17 01:15:39.816457,0.032638888888888884
696822963,https://offerup.com/item/detail/696822963/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['brand new dresser’s mirror', '$25.00', 'diamond bar, ca']",25.0,New (never used),Still in box. Make an offer!,https://photos.offerup.com/wuQDy7OgWp7HN0s--XVR0oMziYQ=/600x450/ceb4/ceb439e74f0b422a80f15cbaeb80c63c.jpg,2019-06-17 01:02:39.816457,0.04166666666666666
696816642,https://offerup.com/item/detail/696816642/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['full/queen 4 piece bedroom set', '$275.00', 'anaheim, ca']",275.0,Used (normal wear),"Great condition! Dark brown bedroom set includes: Bed, Dresser, Nightstand, & Sitting Stool. Also mattress included if interested, in excellent condition.. Make an offer!",https://photos.offerup.com/WESMAsap8WXtjqxLcNf6vD09NzU=/600x800/ab6f/ab6f58b2b1f541b99893451243dd5c90.jpg,2019-06-17 01:02:39.816457,0.04166666666666666
696516904,https://offerup.com/item/detail/696516904/,https://photos.offerup.com/kAmpnb69d0GhzvJZmmJ3ywhBtFk=/300x400/98ca/98ca4588396546a69b7634cb62b390e7.jpg,"['sturdy large drawer/table', '$60.00', 'santa monica, ca']",60.0,Used (normal wear),"Beautiful hard wood end table/dresser/entry way table with pull out drawers on the bottom. It's a durable, solid piece that will last a long time.
Dimensions:
Width 45""
Depth 20""
Height 31"". Make an offer!",https://photos.offerup.com/75FjX1qYDSlHwQ-C07g-UAw8Dbs=/600x800/98ca/98ca4588396546a69b7634cb62b390e7.jpg,2019-06-16 14:02:39.816457,0.5
696505550,https://offerup.com/item/detail/696505550/,https://photos.offerup.com/4nLMC42WEQ0Bhn2CNcwtTvjFLSM=/300x400/0732/0732c39c285e4c2f939d1055060c5251.jpg,"['dresser', '$120.00', 'anaheim, ca']",120.0,Used (normal wear),"$120 firm! You can use it to store clothes , shoes or any household items. . Make an offer!",https://photos.offerup.com/9Nd5j5e3rog9rALyrOFxjrYeNZ0=/600x800/0732/0732c39c285e4c2f939d1055060c5251.jpg,2019-06-16 14:02:39.816457,0.5
696828097,https://offerup.com/item/detail/696828097/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dresser entertainment center', '$300.00', 'burbank, ca']",300.0,Used (normal wear),Dresser or Entertainment center furniture. Made out of Redwood. Currently unfinished so it could be stained or painted. Will sell with or without storage crates. Can help with move and delivery if needed.. Make an offer!,https://photos.offerup.com/KtYoJxjujAlHu08aBXXHEpYmBEg=/600x450/88b6/88b628b27d484893aabab7a3d9e3cfa9.jpg,2019-06-17 01:15:39.816457,0.032638888888888884
696818881,https://offerup.com/item/detail/696818881/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['mid century modern 4 drawer dresser', '$150.00', 'los angeles, ca']",150.0,Used (normal wear),"Beautiful 4 drawer mid century modern dresser. Great condition, like new from Living Spaces in the style of West Elm. Retails for $400. Make an offer!",https://photos.offerup.com/1ah9gEW7WzcYEtntIzj7NP1UQ4o=/600x800/0c66/0c663ecd9225464cb303e0dd41b2a177.jpg,2019-06-17 01:02:39.816457,0.04166666666666666
696505721,https://offerup.com/item/detail/696505721/,https://photos.offerup.com/8mFCWL3fZBePnAPWSUHQ7H-aGjs=/300x225/6f47/6f478c753299469780039a0a1128168a.jpg,"['lovely french provincial dresser', '$180.00', 'sierra madre, ca']",180.0,Used (normal wear),"9 working drawers, elegant vintage handles. Very pretty aqua color with white trim. . Make an offer!",https://photos.offerup.com/rbkhWogMauZEIetOBKytsBN1kho=/600x450/6f47/6f478c753299469780039a0a1128168a.jpg,2019-06-16 14:02:39.816457,0.5
699117083,https://offerup.com/item/detail/699117083/,https://photos.offerup.com/V2KACs6GX-6-01EdvxSctbiGiEM=/300x400/2e82/2e82e56fb5264e11a5a6554c6e76913d.jpg,"['farmhouse french country hutch/book...', '$1,950.00', 'west covina, ca']",1950.0,Used (normal wear),"*** Dimensions: 71.5”L x 19”D x 86 3/4”H (from the top to bottom)
✨✨✨This is a gorgeous Bassett Farmhouse French Country Hutch/Bookshelf/Credenza/Cupboard/Drawers Dresser/Home Office/Buffet Table in a fresh hand painted custom distressed grey color.  The handles hardwares are original brass.   It is real wood, heavy and sturdy.  There 12 drawers and all work smoothly.   The hutch is removable. 

💎 I except Cash, Venmo, Zelle, Credits & Debit Cards, Square and PayPal 
. Make an offer!",https://photos.offerup.com/07qsc7eftDwpDs76nJm_SY2X0kY=/600x800/2e82/2e82e56fb5264e11a5a6554c6e76913d.jpg,2019-06-20 23:37:40.129488,0.003472222222222222
699110256,https://offerup.com/item/detail/699110256/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['!! 5 drawer dresser ""firm price""', '$40.00', 'san fernando, ca']",40.0,Used (normal wear),"Texting Hours: 9AM to 8PM.
Sturdy Knotty Pine Hardwood.  
Height: 49 in.  x Width: 33 in. x  Depth to Wall 17 inches.  
In good condition. Firm Price. Pick up in Arleta, near Pacoima  No Holds please. 
◽Note: It is very important to anchor Dressers to the Wall, so Babies and Kids will not Tip them over on themselves.. Make an offer!",https://photos.offerup.com/6oatruaPUmiuMUB5mIS1Rg3BlG4=/600x800/101a/101a9f9336cf4cebb96eb463a7cc6a72.jpg,2019-06-20 23:19:40.129488,0.01597222222222222
671600340,https://offerup.com/item/detail/671600340/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['promoted', 'chelsea park solid oak dresser - 6 ...', '$200.00', 'long beach, ca']",200.0,Used (normal wear),"2 years old. great condition.  velvet lining in top drawers. 

DIMENSIONS
Width66 inch(es) / 167.64 cm
Height32 inch(es) / 81.28 cm
Depth19 inch(es) / 48.26 cm
Weight181.99 lb(s) / 82.55 kg. Make an offer!",https://photos.offerup.com/tF_M9vcn3A6pR-dp5kaUvqeBpN0=/600x800/6300/63007d96e8704ea2bb679e762c49df50.jpg,2019-05-21 23:42:40.129488,30.0
699096757,https://offerup.com/item/detail/699096757/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['black dresser', '$120.00', 'los angeles, ca']",120.0,Used (normal wear),Super Sleek. Great condition . Make an offer!,https://photos.offerup.com/r9hNb9XHu7srJYkTgctIpShidsU=/600x1177/c52a/c52a1be5e2d7499bb7f8058d8c9c91be.jpg,2019-06-20 22:47:40.129488,0.03819444444444444
