id,url,img,info,price,condition,description,imgurl,postdate,time_since_posting
694379490,https://offerup.com/item/detail/694379490/,https://photos.offerup.com/J9yvpIKOBWlxnI7e_2YBFDkyE6o=/300x500/0bf4/0bf42a1ddf844d68854d75bb82f8e62a.jpg,"['upholstered chair (2)', '$30.00', 'la mirada, ca']",30.0,Used (normal wear),Upholstered Chair. Have 2 of same chair to sell.  $30 for each chair.. Make an offer!,https://photos.offerup.com/AbUnuDE48pVjPcFT319pN-cEwjo=/600x1001/0bf4/0bf42a1ddf844d68854d75bb82f8e62a.jpg,2019-06-14 14:22:37.101913,3.0
695938475,https://offerup.com/item/detail/695938475/,https://photos.offerup.com/ld01RVSiiVaHxtgR8BJp8l2TglA=/300x225/e229/e229f26218344b38bc82d53249e121c9.jpg,"['z gallerie velvet pauline sofa and ...', '$650.00', 'los angeles, ca']",650.0,Used (normal wear),"Must go this weekend!!

Z Gallerie Pauline Sofa and Chair for sale, in color is Pool. This couch and chair are SO comfortable, easy to clean and modern looking. Nailhead trim and almost velvet fabric feel. Would keep, but just moved and doesn't fit with the new space. 

Couch: A traditional and Contemporary design. The base is trimmed in a rich dark wood finish with polished nail heads. The upholstery is a Pool 100% Polyester Microfiber. A soft texture of velvet combines with the performance of microfiber. Engineered for durability and lasting saturated color this fabric is stain resistance and water repellent. Great additions for the living space or office. Arm height: 32 Height. Seat Height: 20 inches. Made in the USA.
Original Price: $1,299

Chair: 44.0"" W x 32.0"" H x 30.0"" D 
Original Price: $899

Selling both for $650 OBO. 
. Make an offer!",https://photos.offerup.com/u0fTHDNWShUDWIPXpnZXUYAp_50=/600x450/e229/e229f26218344b38bc82d53249e121c9.jpg,2019-06-16 17:22:37.101913,0.875
695540826,https://offerup.com/item/detail/695540826/,https://photos.offerup.com/5oVV1uQk2k9uTc2yTXhLMFCGAXk=/300x400/ea43/ea4311d1ef5b48b5a470b89f01dc2c2b.jpg,"['brown leather chair', '$40.00', 'newport beach, ca']",40.0,Used (normal wear),Soft brown leather chair.. Make an offer!,https://photos.offerup.com/3dRKbQGkTn1j0vC8dXR2FiFA9pg=/600x801/ea43/ea4311d1ef5b48b5a470b89f01dc2c2b.jpg,2019-06-15 14:22:37.101913,2.0
702082116,https://offerup.com/item/detail/702082116/,https://photos.offerup.com/NyrOV9ns5A8rTrVmWt1kcgOyEdA=/300x400/f35c/f35c2c5546f546bab98a05466661ee6f.jpg,"['plaid yellow and white chairs, grea...', '$75.00', 'westlake village, ca']",75.0,Used (normal wear),Two chairs $75 each great condition . Make an offer!,https://photos.offerup.com/F__XBgWSf7od0WotcSPvYpG6B58=/600x800/f35c/f35c2c5546f546bab98a05466661ee6f.jpg,2019-06-25 23:52:12.054766,0.005555555555555555
702080849,https://offerup.com/item/detail/702080849/,https://photos.offerup.com/hnSSbRqRmXJYnVhDRBhQsHpPiZE=/300x400/4f69/4f6981872b444ea99314e63820271377.jpg,"['vanity/desk chair', '$60.00', 'norwalk, ca']",60.0,New (never used),"Used for about a month
Color: Red 
Only defects are in the last 2 pictures 
Will sell built together already 
Negotiable :). Make an offer!",https://photos.offerup.com/ut-og8hQ-KVtPKkYVokGmymJH5s=/600x800/4f69/4f6981872b444ea99314e63820271377.jpg,2019-06-25 23:49:12.054766,0.007638888888888888
702079611,https://offerup.com/item/detail/702079611/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['brand new outdoor zero gravity orbi...', '$40.00', 'walnut, ca']",40.0,New (never used),New in Box . Make an offer!,https://photos.offerup.com/9AHJ9flRKsggXsQnPPK4yMfbQoQ=/600x600/48b6/48b6aeedf1124335b673c60842c6f2cd.jpg,2019-06-25 23:46:12.054766,0.00972222222222222
688119996,https://offerup.com/item/detail/688119996/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['promoted', 'accent chair', '$50.00', 'lakewood, ca']",50.0,Used (normal wear),No holes. I’m good condition. No pet and smoking environment. Make an offer!,https://photos.offerup.com/uK-hUyhu2yqC-ioQAZRaWGH601o=/600x864/e8a4/e8a465e92dc84eb9a0aa9e2c1113e378.jpg,2019-06-05 00:00:12.054766,21.0
676616870,https://offerup.com/item/detail/676616870/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['promoted', '2 chairs and 1 ottoman and big matc...', '$50.00', 'harbor city, ca']",50.0,Used (normal wear),2 chairs and 1 ottoman and big matching pillow. Make an offer!,https://photos.offerup.com/3gdgbXX1zjtrJpHwOK9feKb4cYk=/600x1266/7ce6/7ce6f104634c44c4a43153a75b6d23d2.jpg,2019-05-27 00:00:12.054766,30.0
702075479,https://offerup.com/item/detail/702075479/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['brand new outdoor zero gravity orbi...', '$40.00', 'walnut, ca']",40.0,New (never used),New in Box . Make an offer!,https://photos.offerup.com/9OmLRrMrE5pMpbcRUCUvisnw27w=/600x800/7e25/7e258731bc1545a4a29247ea8d1d8268.jpg,2019-06-25 23:35:12.054766,0.01736111111111111
702074685,https://offerup.com/item/detail/702074685/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dining set 7 piece, espresso color', '$399.00', 'santa ana, ca']",399.0,New (never used),"New in box|  Not Assembled (Assembly Required)

Table: 60"" x 36"" x 30""H
Chair: 18"" x 22"" x 38""H


Rubber Wood + MDF w. Birch Veneer


Cash and Credit Cards Accepted ||

FINANCE AND DELIVERY AVAILABLE 

Monday        (10am-7pm)
TUESDAY      CLOSED
Wednesday  (10am-7pm)
Thursday      (10am-7pm)
Friday           (10am-7pm)
Saturday      (10am-7pm)
Sunday         (12pm-6pm)

TEMPO CLEARANCE 
1020 S Linwood Ave
Santa Ana, CA,  92705. Make an offer!",https://photos.offerup.com/c7MqN12WwYciN1j6M2_MYHhNaKw=/600x450/df99/df998ecabb6445eba5f1f6f4692219b4.jpg,2019-06-25 23:33:12.054766,0.01875
