id,url,img,info,price,condition,description,imgurl,postdate,time_since_posting
695765916,https://offerup.com/item/detail/695765916/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['promoted', 'blue grey pull out couch sofa futon...', '$369.00', 'los angeles, ca']",369.0,New (never used),"☺ Come into our Downtown L.A. Showroom

Address:📍1100 : Wall St : Unit # 204 
Los Angeles : CA : 90015 👇

👉 Limited Days & Hours:
:: Monday -       10am - 4pm
:: Tuesday -       Closed
:: Wednesday - 10am - 4pm
:: Thursday -     10am - 4pm
:: Friday -           Closed
:: Saturday -      10am - 4pm
:: Sunday -         Closed 👇

💵 Financing available with only $50 down $0 Interest up to 90 days to pay same as cash... Financing offered to people with no credit bad credit they get approved! 💯 Message me to apply.

📱 Text # 22462 and enter 20449 to apply.

😁 Only $50 Down!
😊 No Credit Check!
🙂 90 Days Payment Option
👉 Apply Today It's Quick!

🚚 Delivery Fee

Can't make it to the shop? shop online👇

📱 @ sofaslosangeles. com








We also have more items online- 
cal king, eastern king, king, bedroom furniture, living room furniture, livingroom, patio furniture,server, bar chairs, ottoman, mirror, rugs, furniture,  kids furniture, youth furniture, master bedroom, dining room, dining room furniture, dining set, dining table, mattress, new mattress, queen mattress, twin mattress, full mattress, king mattress, cal king mattress, furniture, brand new, twin bed, queen bed, full bed, eastern king bed, king bed, cal king bed, delivery, set up,  eastern king mattress, accent furniture, chest, dresser, mirror, dining chairs, sectional, sofa, loveseat, love seat, couch, recliner, bed, nightstand, bunk bed, daybed, trundle bed, dog houses, futons, sleeper, sofa bed, sofa sleeper, desk, computer chair, coffee table, pull out bed, tv stands, bar, bench, counter height, queen, twin, full,  rug, vanity, bookcase, leather, fabric, faux leather, bonded leather, linen, polyester, outdoor, assembly, brand new furniture,

    . Make an offer!",https://photos.offerup.com/0H9zqokhorAw2Wf9M43NCMZttRI=/600x843/8982/898299fe97fa4f899776b052274ccb96.jpg,2019-06-15 22:41:45.007049,1.0
696759988,https://offerup.com/item/detail/696759988/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['sofa couch', '$100.00', 'paramount, ca']",100.0,Used (normal wear),2 sofas in good conditions there isn’t any rips or tears anywhere just getting rid of them need them gone by Saturday . Make an offer!,https://photos.offerup.com/jMofOtwCXVBGUFYfZnzwJKHb7w8=/600x800/36be/36be736e8a6445138b5fbd0593e9264d.jpg,2019-06-16 21:56:45.007049,0.03125
696742136,https://offerup.com/item/detail/696742136/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['outdoor wicker patio furniture sofa...', '$250.00', 'marina del rey, ca']",250.0,Used (normal wear),Purchased for $339.99 less than 2 years ago. This outdoor wicker couch with cushions is in great condition. Normal wear from outdoors in Los Angeles (good weather with minimal rain). No pets in home. Pickup only. Cash only at time of pickup.. Make an offer!,https://photos.offerup.com/1hwOdlh34M1w5aEWkTquR0C5xGU=/600x450/3ebc/3ebc499c0818490faf6876b4ec9a3f51.jpg,2019-06-16 21:41:45.007049,0.04166666666666666
696734661,https://offerup.com/item/detail/696734661/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['blue sectional couch new in the box...', '$530.00', 'los angeles, ca']",530.0,New (never used),Delivery only Monday to Saturday. . Make an offer!,https://photos.offerup.com/3Icd4Op1fknQAYRey3SySZ6quTA=/600x450/c2e7/c2e7d9a01ec442f39b4f098ae1a22927.jpg,2019-06-16 21:41:45.007049,0.04166666666666666
696732935,https://offerup.com/item/detail/696732935/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['pullout couch', '$200.00', 'azusa, ca']",200.0,Used (normal wear),Charcoal Gray Pullout Couch With Queen Size Bed . Make an offer!,https://photos.offerup.com/_qmQUVk-By8cxwXklujy-ur39tk=/600x450/19bc/19bccff4d3624d19ac7cf5ab77f14c1e.jpg,2019-06-16 21:41:45.007049,0.04166666666666666
696726018,https://offerup.com/item/detail/696726018/,https://photos.offerup.com/fxduKaEmS1mpQ-2qbXTXUPcTSv4=/300x400/da00/da00dfc758c245c68aa7dfed07278034.jpg,"['recliner sofa cover', '$10.00', 'norwalk, ca']",10.0,Used (normal wear),Recliner two tone couch cover . Make an offer!,https://photos.offerup.com/L22dCXuAXX_Jz7tMToznl3IVnk4=/600x800/da00/da00dfc758c245c68aa7dfed07278034.jpg,2019-06-16 20:41:45.007049,0.08333333333333333
696720767,https://offerup.com/item/detail/696720767/,https://photos.offerup.com/u-EVRsxk-w-UbBayQacj6JSX1kc=/300x400/d328/d328e402eee3421391f85470cbcf9e2c.jpg,"['couch for sale', '$100.00', 'arcadia, ca']",100.0,Used (normal wear),Getting rid of old couch. Couch covers come off so easy to wash. Could even get new covers like a DIY project :) . Make an offer!,https://photos.offerup.com/B_E-QTW_f2phDbbKHyaWX7Us8HA=/600x800/d328/d328e402eee3421391f85470cbcf9e2c.jpg,2019-06-16 20:41:45.007049,0.08333333333333333
696715402,https://offerup.com/item/detail/696715402/,https://photos.offerup.com/MlQOzc6cQLdZD39khLpZtDx_YlE=/300x225/21a8/21a84837b49c4152b87669d0a50ed64c.jpg,"['living room couches', '$200.00', 'irwindale, ca']",200.0,Used (normal wear),"Hi, I’m looking to remodel my living room and need to get rid of these couches, still very comfy and needs a good scrub and clean. It was a family couch, but it needs a new home. Best offer, pick up only please. 

Pillows not included **. Make an offer!",https://photos.offerup.com/-oVVEnN4GksksrDEaX_ryqTgFKA=/600x450/21a8/21a84837b49c4152b87669d0a50ed64c.jpg,2019-06-16 20:41:45.007049,0.08333333333333333
696711834,https://offerup.com/item/detail/696711834/,https://photos.offerup.com/2SMt1-47eeP4IuGppvmb0-UFTG8=/300x225/cb0f/cb0f6538a6364e2dba2910cb6f343797.jpg,"['light brown couch', '$200.00', 'los angeles, ca']",200.0,Used (normal wear),"Condition: Excellent
Years Owned: 1
Dimensions: 90"" x 40""

You pick up. Make an offer!",https://photos.offerup.com/V8SXLABI82H54LyTk1121uz-W9A=/600x450/cb0f/cb0f6538a6364e2dba2910cb6f343797.jpg,2019-06-16 20:41:45.007049,0.08333333333333333
696708538,https://offerup.com/item/detail/696708538/,https://photos.offerup.com/H7IXqACISmljoxeoCmYOLMMjqyA=/300x400/00bf/00bfcfd509bd479381e60e6cdaa4f2bb.jpg,"['free couches.', '$0.00', 'los angeles, ca']",0.0,Used (normal wear),We got new couches and these have to go. Just washed everything. . Make an offer!,https://photos.offerup.com/sKi4hSDnbpYRDxRDy7B-unu9lEM=/600x800/00bf/00bfcfd509bd479381e60e6cdaa4f2bb.jpg,2019-06-16 20:41:45.007049,0.08333333333333333
