id,url,img,info,price,condition,description,imgurl,postdate,time_since_posting
699038822,https://offerup.com/item/detail/699038822/,https://photos.offerup.com/sERGnzwrb6sBSl4SDuSus-97bkc=/300x225/8ae2/8ae2646e14ef478ba3b462a0dcb014e8.jpg,"['heart dresser', '$125.00', 'los angeles, ca']",125.0,Used (normal wear),"Beautiful dresser with heart shaped handles. 
In excellent condition. Small flaw in the finish on top of the dresser. See 4th picture.
Dimensions: 57 X 17.5 X 30. Make an offer!",https://photos.offerup.com/5nbUdjh2YpVgXy8xsL4PRnKY1Mc=/600x450/8ae2/8ae2646e14ef478ba3b462a0dcb014e8.jpg,2019-06-20 21:42:40.129488,0.08333333333333333
698963297,https://offerup.com/item/detail/698963297/,https://photos.offerup.com/jzMw7ZUHda_cF70X0dilb55q2BM=/300x225/2462/2462ca505d3f4df59713cf60d8d28272.jpg,"['1inch bevel dresser mirror', '$50.00', 'compton, ca']",50.0,Used (normal wear),1inch bevel dresser mirror. Make an offer!,https://photos.offerup.com/jtNgemfOPYu4gS29GjqJOPaBayI=/600x450/2462/2462ca505d3f4df59713cf60d8d28272.jpg,2019-06-20 19:42:40.129488,0.16666666666666666
698962986,https://offerup.com/item/detail/698962986/,https://photos.offerup.com/XdFkAOPKPINBFPZCjLx7-FtJzn8=/300x145/9041/9041630a1a2144b3893546d0d733b3db.jpg,"['rustic armoire/dresser/stand', '$100.00', 'los angeles, ca']",100.0,Used (normal wear),Gorgeous piece that goes well with the modern rustic farmhouse style decor.. Make an offer!,https://photos.offerup.com/VGr_H_IrQCMeyjM5zRvc6AOaZO4=/600x291/9041/9041630a1a2144b3893546d0d733b3db.jpg,2019-06-20 19:42:40.129488,0.16666666666666666
698768992,https://offerup.com/item/detail/698768992/,https://photos.offerup.com/UOHPZqxhmrXtqjM9sKpsAgkFSkE=/300x225/af01/af0120de3cd74f099e3f631853bc1933.jpg,"['solid wood 3 piece bedroom set', '$350.00', 'huntington beach, ca']",350.0,Used (normal wear),"Stanley solid oak 3 piece bedroom set. Dresser and 2 nightstands. Dimensions are: 
Dresser: 72”w x 19”D x 33”H
Nightstand: 26”W x 17”D x 25”H. Make an offer!",https://photos.offerup.com/R4mZGBD251dh1RQ9i1EcsM-wiXM=/600x450/af01/af0120de3cd74f099e3f631853bc1933.jpg,2019-06-20 13:42:40.129488,0.4166666666666666
699059985,https://offerup.com/item/detail/699059985/,https://photos.offerup.com/hkOwi0VL3ePrW5jHB9dGilOJ2R0=/300x225/04fa/04fa7e363e2246fd806d612fa65a7eb8.jpg,"['bedroom set', '$500.00', 'los angeles, ca']",500.0,Used (normal wear),Queen bed with 1nightstand and 6drawer dresser. . Make an offer!,https://photos.offerup.com/5Lm9VQfHSX8yWX4_BYLbkSBGqlg=/600x450/04fa/04fa7e363e2246fd806d612fa65a7eb8.jpg,2019-06-20 21:42:40.129488,0.08333333333333333
698645114,https://offerup.com/item/detail/698645114/,https://photos.offerup.com/4jQO71BBOq_sETALAoyMEIsxAFw=/300x400/c9bc/c9bc2812c14f4cc294909950a34457dd.jpg,"['twin bunkbed set with desk, dresser...', '$700.00', 'san gabriel, ca']",700.0,Used (normal wear),"Bunkbed set with twin beds, side desk, drawers, and ladder. Also includes dresser, toy box and a separate desk. Two chairs included for desks. Great for boys or girls. . Make an offer!",https://photos.offerup.com/kqbg8LsvQz2edrHQgcOtNpsrPHs=/600x800/c9bc/c9bc2812c14f4cc294909950a34457dd.jpg,2019-06-20 09:42:40.129488,0.5833333333333333
700135261,https://offerup.com/item/detail/700135261/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['dresser', '$25.00', 'vernon, ca']",25.0,Used (normal wear),Wooden chest of drawers/dresser . Make an offer!,https://photos.offerup.com/l24E5Wcz7Ss2aIdg6zQJzMleYbo=/600x1267/1405/140593f118e24b2f916978363ba11be4.jpg,2019-06-22 18:10:04.882938,0.005555555555555555
700133130,https://offerup.com/item/detail/700133130/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['new beautiful white dresser', '$99.00', 'city of industry, ca']",99.0,New (never used),"IG: MattressFactoryDirectLB
{contact info removed}. Make an offer!",https://photos.offerup.com/1rDcvBb-rgndZ_pwfAqdLtck3HQ=/600x800/9512/95126a7c36e14370a9ea088f30237005.jpg,2019-06-22 18:07:04.882938,0.007638888888888888
700130945,https://offerup.com/item/detail/700130945/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['black mirror dresser', '$150.00', 'compton, ca']",150.0,Used (normal wear),"Black mirror dressor in good condition, price is non negotiable, please don’t ask for less. Ready to be picked up today!! . Make an offer!",https://photos.offerup.com/DmhNlZPBCPdWlkwemdfJnKrpC3o=/600x800/7aff/7affd53104824effae12d977faf3d42b.jpg,2019-06-22 18:03:04.882938,0.010416666666666666
700127056,https://offerup.com/item/detail/700127056/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['white dresser ( 9 drawers)', '$75.00', 'los angeles, ca']",75.0,Used (normal wear),"This lived in chest of drawers is looking for someone to love it. 

Measurements: 5ft width, 2 ft 11 in height, 1 ft 8 in deep. 

I only take cash. :) . Make an offer!",https://photos.offerup.com/SNU0jmDwe32bD4_V6AwspdjS_pQ=/600x337/68a7/68a73a2bdf40456ebab48d8590d492e1.jpg,2019-06-22 17:57:04.882938,0.014583333333333332
