id,url,img,info,condition,description,imgurl,postdate,time_since_posting,price
699992004,https://offerup.com/item/detail/699992004/,https://photos.offerup.com/SdqMBgYbcs7f4lU0jH-1lmwSlYg=/300x225/9a55/9a55656d984c43639d200a0fc6015ae2.jpg,"['six drawer dresser— ikea hack', 'sold', 'los angeles, ca']",Used (normal wear),"This is an ikea dresser stained and painted (blue) with antique porcelain nobs. Real pine. Drawers all work perfectly.

 I have the original wood nobs if you prefer them. 

Moving sale . Make an offer!",https://photos.offerup.com/Zc9cmkPnaJyExklauieQErq1LVo=/600x450/9a55/9a55656d984c43639d200a0fc6015ae2.jpg,2019-06-22 15:18:04.882938,0.125,65.0
699966064,https://offerup.com/item/detail/699966064/,https://photos.offerup.com/0GlGLH7oedRotsll6HYD4BDbsdg=/300x400/5a38/5a38097b0feb472eae89a5c9d4e1c57f.jpg,"['ikea dressers free', 'sold', 'los angeles, ca']",Used (normal wear),"Two dressers.  One four drawer 39 1/2” x 31 1/2” x 19” 

Matching three drawer 31”x31 1/2” x 19”

Moving.  FREE. Make an offer!",https://photos.offerup.com/Z-G2rFrjCHSxjz31VEuxItjvtZ0=/600x800/5a38/5a38097b0feb472eae89a5c9d4e1c57f.jpg,2019-06-22 15:18:04.882938,0.125,0.0
699942619,https://offerup.com/item/detail/699942619/,https://photos.offerup.com/68hkcJymOghawAdeo1vETEhGkDo=/300x400/5076/50768d4712c245f181a116fddb4988b2.jpg,"['queen bed set. contemporary italian', 'sold', 'long beach, ca']",Used (normal wear),"Italian laquer queen platform bed.  Headboard, two nightstands, 6 drawer mirrored dresser.  Moving must sell. $50 takes all. . Make an offer!",https://photos.offerup.com/q_56dgV3NEIXGbxymU-agceQDI8=/600x800/5076/50768d4712c245f181a116fddb4988b2.jpg,2019-06-22 14:18:04.882938,0.16666666666666666,50.0
699826345,https://offerup.com/item/detail/699826345/,https://photos.offerup.com/jjunfwlUDRZ-NaYitIHcsiqrLsk=/300x400/e70e/e70e9544438240e9be74afc9c8026645.jpg,"['dark brown dresser', 'sold', 'los angeles, ca']",For Parts,"Beautiful to look at and functional, but could use repairs from lots of wear and tear. Free for pickup only. South LA.. Make an offer!",https://photos.offerup.com/H_EtZYb09jwqjveamVmhasgKFes=/600x800/e70e/e70e9544438240e9be74afc9c8026645.jpg,2019-06-22 12:18:04.882938,0.25,0.0
699767065,https://offerup.com/item/detail/699767065/,https://photos.offerup.com/gK3feOEMBNb0BIvmIsG_MohC5x0=/300x225/1dcc/1dccbdd28ad2412bbdc3db2b66a5b13f.jpg,"['queen bedroom set', 'sold', 'yorba linda, ca']",Used (normal wear),"Includes bed, dresser with mirror and two night stands.  Mattress not included.  Does have a couple scratches. . Make an offer!",https://photos.offerup.com/k9-w4xIIIy5j28HlixnBR7nEJkM=/600x450/1dcc/1dccbdd28ad2412bbdc3db2b66a5b13f.jpg,2019-06-22 10:18:04.882938,0.3333333333333333,150.0
699764147,https://offerup.com/item/detail/699764147/,https://photos.offerup.com/zK7o9QXBeY-aK6ekELVYDSVQHX4=/300x400/0b0f/0b0f35f64c3948f784a6c995dd0c10e7.jpg,"['dresser. must sell this morning!', 'sold', 'irvine, ca']",Used (normal wear),"Good condition, 
Moving and must sell this morning! . Make an offer!",https://photos.offerup.com/iKhzY4nIEJ7sMKxsBwZCVARB-h0=/600x800/0b0f/0b0f35f64c3948f784a6c995dd0c10e7.jpg,2019-06-22 10:18:04.882938,0.3333333333333333,25.0
699563441,https://offerup.com/item/detail/699563441/,https://photos.offerup.com/FBwVWf6Uif_vtfkdCBhFrfNmRn8=/300x649/460d/460d031960094d40b36fad0dd88d5027.jpg,"['7-drawer wood dresser', 'sold', 'orange, ca']",Used (normal wear),"7 drawer wood dresser, all functional. Must pick up item. . Make an offer!",https://photos.offerup.com/vVGd1CqGPwJBgJPhr2OVKEbIV8M=/600x1298/460d/460d031960094d40b36fad0dd88d5027.jpg,2019-06-21 20:18:04.882938,0.9166666666666666,40.0
699427085,https://offerup.com/item/detail/699427085/,https://photos.offerup.com/M8Qwfzb_mI23H0LrkugZbLC2p4k=/300x210/c640/c640d8e9258a4646b5b004d5bc3383ea.jpg,"['4 drawer dresser finished in graphi...', 'sold', 'azusa, ca']",Used (normal wear),4 drawer dresser finished in chalk paint. Gently used.. Make an offer!,https://photos.offerup.com/tcmjmcuiTjmazJzAktgFPzGCvMk=/600x420/c640/c640d8e9258a4646b5b004d5bc3383ea.jpg,2019-06-21 18:18:04.882938,1.0,45.0
699406608,https://offerup.com/item/detail/699406608/,https://photos.offerup.com/G6ymIdyeILwswwmvZqlZ0eENjHg=/300x308/403f/403f91ff166643ed872995ec5e3b63d7.jpg,"['dresser', 'sold', 'huntingtn bch, ca']",Used (normal wear),Measurements are 53.5 in wide 19 in deep and 33 in tall. This dresser is solid wood. All dovetail drawers. The color is a brownish Gray. . Make an offer!,https://photos.offerup.com/M5mzizLd077xFAlzVS9bskL6Gww=/600x617/403f/403f91ff166643ed872995ec5e3b63d7.jpg,2019-06-21 18:18:04.882938,1.0,150.0
699390663,https://offerup.com/item/detail/699390663/,https://photos.offerup.com/8tLn5MrXNl4aCKFZyWjE9Y_g_s8=/300x432/4277/4277da8c1c044dde930974a9e2919e55.jpg,"['dresser drawers', 'sold', 'whittier, ca']",Used (normal wear),"5 drawer dresser, want to get rid of it ASAP . Make an offer!",https://photos.offerup.com/7869H3bLTP5NFIQlk_QvciHrp4E=/600x864/4277/4277da8c1c044dde930974a9e2919e55.jpg,2019-06-21 18:18:04.882938,1.0,30.0
