id,url,img,info,condition,description,imgurl,postdate,time_since_posting,price
700108925,https://offerup.com/item/detail/700108925/,https://photos.offerup.com/xvccyDk3B8rV5gJRYQyZUspWA00=/300x400/8ffe/8ffe7faf779f423bbd22592846f9ad31.jpg,"['table', 'sold', 'los angeles, ca']",Used (normal wear),Used table // no chairs. Make an offer!,https://photos.offerup.com/HEYoQvSI1DycaJFNFn_B_91QMnM=/600x800/8ffe/8ffe7faf779f423bbd22592846f9ad31.jpg,2019-06-22 17:52:01.304979,0.08333333333333333,45.0
699922178,https://offerup.com/item/detail/699922178/,https://photos.offerup.com/Y2isedAvepofvZVy12Pk0O4cIso=/300x400/cd49/cd49b2725a4b48a38b67e765c2722ce7.jpg,"['shelf and side tables', 'sold', 'santa fe springs, ca']",Used (normal wear),Shelf and side tables. Make an offer!,https://photos.offerup.com/_pVzFYhoz66XBp9cfK0vn-JZQSE=/600x800/cd49/cd49b2725a4b48a38b67e765c2722ce7.jpg,2019-06-22 13:52:01.304979,0.25,25.0
699892464,https://offerup.com/item/detail/699892464/,https://photos.offerup.com/1_Bg9iUUAyYRjLzCTkmu3mWNY-I=/300x400/baa2/baa24212287d4bd785330adf83b0cb36.jpg,"['kitchen table', 'sold', 'newhall, ca']",Used (normal wear),Kitchen table with 4 matching chairs. From a clean home. $40 OBO. Make an offer!,https://photos.offerup.com/Tn2LFPub4D_J2p4CT-iAuxSQvGA=/600x800/baa2/baa24212287d4bd785330adf83b0cb36.jpg,2019-06-22 13:52:01.304979,0.25,40.0
699870994,https://offerup.com/item/detail/699870994/,https://photos.offerup.com/v4Kw5ozDBRCH72wLV_-IOuJhW0g=/300x400/0eca/0eca99396ce34986806e293ed0b5ff3d.jpg,"['wooden table with 4 chairs', 'sold', 'marina del rey, ca']",Used (normal wear),"Wooden table with 4 chairs, table has built-in extension . Make an offer!",https://photos.offerup.com/l_LfqQRbVDmWfBekzvJxDewTJVU=/600x800/0eca/0eca99396ce34986806e293ed0b5ff3d.jpg,2019-06-22 12:52:01.304979,0.29166666666666663,185.0
699852142,https://offerup.com/item/detail/699852142/,https://photos.offerup.com/UGAv6_WdG3wgmFfG5YvOP47bdDU=/300x413/c4a3/c4a30fddef7948f1b2ab72a9415ba40f.jpg,"['wardrobe', 'sold', 'irvine, ca']",Open box (never used),Has set with desk and end table for students. Make an offer!,https://photos.offerup.com/bGhZG5ViCssenVx724b5IuRk2pg=/600x826/c4a3/c4a30fddef7948f1b2ab72a9415ba40f.jpg,2019-06-22 12:52:01.304979,0.29166666666666663,25.0
699728935,https://offerup.com/item/detail/699728935/,https://photos.offerup.com/VLQl2mEHJ4i_KnZzgbspL_W4_3M=/300x400/4ec0/4ec0861c0b3f44d68359787f9c587fa9.jpg,"['kitchen table high chairs', 'sold', 'montebello, ca']",Used (normal wear),I am selling 4 high table chairs they measure about 28 inches I bought them but didn’t fit under my table they are in really good shape they are a dark brown I am asking 40 for them message me with any questions  . Make an offer!,https://photos.offerup.com/dfzda88ebV0jZYnXnN3Fmd9IoP0=/600x800/4ec0/4ec0861c0b3f44d68359787f9c587fa9.jpg,2019-06-22 04:52:01.304979,0.625,40.0
699715450,https://offerup.com/item/detail/699715450/,https://photos.offerup.com/qQOln0S6Wv5eEqqck_P2j-LVNhc=/300x400/d71c/d71c08355568419e8d6ef1b1b8c9c30a.jpg,"['free circular kitchen wooden table', 'sold', 'los angeles, ca']",Used (normal wear),Free! Approx 4.5 feet wide circular kitchen table. Oak. Used but still in good condition. Must pick up from West Hollywood . Make an offer!,https://photos.offerup.com/VDbt3z3sKgi6yNcZagnfvNLCJmI=/600x800/d71c/d71c08355568419e8d6ef1b1b8c9c30a.jpg,2019-06-22 02:52:01.304979,0.7083333333333333,0.0
699576740,https://offerup.com/item/detail/699576740/,https://photos.offerup.com/J8l2rRyFfJBwOaAvIBX93FktJ1s=/300x500/3fa0/3fa0d176bf44412b9305f71a710bdef5.jpg,"['glass table 10 dollars', 'sold', 'long beach, ca']",Used (normal wear),Glass table . Make an offer!,https://photos.offerup.com/t99vmXH_XbdC_BI9GOl2tl5odS8=/600x1001/3fa0/3fa0d176bf44412b9305f71a710bdef5.jpg,2019-06-21 20:52:01.304979,0.9583333333333333,10.0
699572984,https://offerup.com/item/detail/699572984/,https://photos.offerup.com/-Wus86SenAchRKBPA7OLnhyi5Xg=/300x225/4f75/4f753be8303f4fb5ba2f1fc1c4b159ff.jpg,"['mid century modern coffee table', 'sold', 'culver city, ca']",Used (normal wear),Mid century modern coffee table. Make an offer!,https://photos.offerup.com/0uAExOib140UwyV9N-iMciiS--Y=/600x450/4f75/4f753be8303f4fb5ba2f1fc1c4b159ff.jpg,2019-06-21 20:52:01.304979,0.9583333333333333,30.0
699547533,https://offerup.com/item/detail/699547533/,https://photos.offerup.com/1TXktiCMmd7wO7BYfuU7CPaEqTA=/300x486/69f9/69f9e604f9514547b22ce25715d74e8f.jpg,"['nightstand / table from ikea black ...', 'sold', 'hacienda heights, ca']",Used (normal wear),"See IKEA description. Bought from IKEA . 
Excellent condition no scratches on it. 
Message me for any questions. Make an offer!",https://photos.offerup.com/3S-Zzx_UHgl3RByl-modpjYYwlw=/600x972/69f9/69f9e604f9514547b22ce25715d74e8f.jpg,2019-06-21 19:52:01.304979,1.0,30.0
699494713,https://offerup.com/item/detail/699494713/,https://photos.offerup.com/iIE9HOGQAyEf9GfMUrHvAxJDUqI=/300x533/942e/942e22529ba440ce98ce3021da5212b3.jpg,"['hallway table and matching mirror', 'sold', 'baldwin park, ca']",Used (normal wear),Hallway table with matching mirror. $50 obo. Pick up by Sunday. Make an offer!,https://photos.offerup.com/P4lmA1lsAzG_SWsTwLQN7TUHm24=/600x1066/942e/942e22529ba440ce98ce3021da5212b3.jpg,2019-06-21 19:52:01.304979,1.0,50.0
610837016,https://offerup.com/item/detail/610837016/,https://photos.offerup.com/1MQC2G4u05mLHV-v6RmrrFLk2qw=/300x400/f640/f640a04aeaed44ac92a0bfd41578f209.jpg,"['dining table with 5 chairs, armani ...', 'sold', 'torrance, ca']",Used (normal wear),"Extendible black glass and Armani design extended board, elegance furniture . Make an offer!",https://photos.offerup.com/3kjSFZihaGN-Bl0U91zOmf211Po=/600x800/f640/f640a04aeaed44ac92a0bfd41578f209.jpg,2019-06-21 19:52:01.304979,1.0,300.0
699356139,https://offerup.com/item/detail/699356139/,https://photos.offerup.com/rrlaCH_cmA9rKlr6kpQbTkJwe0Q=/300x533/56e5/56e57ff84c1c4836b558fa805f5860c3.jpg,"['end tables', 'sold', 'garden grove, ca']",Used (normal wear),Glass and metal kinda heavy but need gone I’ll take $20 for both paid over $80 for them but need gone ASAP. I put them in the garage easier for whoever wants them instead of upstairs. Pickup in Garden Grove no Deliveries sorry. Make an offer!,https://photos.offerup.com/uFxRBoW8gpFnVZjCS07xzVEvcqY=/600x1066/56e5/56e57ff84c1c4836b558fa805f5860c3.jpg,2019-06-21 19:52:01.304979,1.0,20.0
699318027,https://offerup.com/item/detail/699318027/,https://photos.offerup.com/fs4R77pKFs9sNsW_IEqJZ6BkLx8=/300x225/1eb4/1eb41104d4e84cb382145338b12940d1.jpg,"['sectional sofa and coffee table', 'sold', 'bellflower, ca']",Used (normal wear),"Yard Sale Sat 6/22 7AM-3PM

15745 Faculty Ave 
Bellflower CA 90706. Make an offer!",https://photos.offerup.com/zFsUn6AoURIemG-rMSRk1WbPcZs=/600x450/1eb4/1eb41104d4e84cb382145338b12940d1.jpg,2019-06-21 19:52:01.304979,1.0,200.0
699200682,https://offerup.com/item/detail/699200682/,https://photos.offerup.com/F_cx9Br5hK7uYNZ10JfY1Xl4MIE=/300x532/89fe/89feef01f1f9488fb8ceb2eb16042184.jpg,"['sofa table mirrored', 'sold', 'rowland heights, ca']",New (never used),Brand new!!. Make an offer!,https://photos.offerup.com/FMdfszH7PY5yXlRBqEp_1kHxK8A=/600x1065/89fe/89feef01f1f9488fb8ceb2eb16042184.jpg,2019-06-21 19:52:01.304979,1.0,140.0
699096114,https://offerup.com/item/detail/699096114/,https://photos.offerup.com/uwFuDpdiICyViWHhvOfv04w3IrM=/300x486/118c/118ce5eec8c94a12822b43c8b2a82695.jpg,"['round dining table and 5 chairs', 'sold', 'glendale, ca']",Used (normal wear),Modern and stylish dining table and 5 chairs. Retail price $1800. Friday 6/21 and  Saturday 6/22 pick up only.. Make an offer!,https://photos.offerup.com/k7C4ZDFzLthcjkHRJVaowMUNAzc=/600x972/118c/118ce5eec8c94a12822b43c8b2a82695.jpg,2019-06-21 19:52:01.304979,1.0,200.0
699021076,https://offerup.com/item/detail/699021076/,https://photos.offerup.com/QUvLZBjO8W8M5M9ET6XOuMh8xpQ=/300x225/6ffd/6ffd1ddfb0244c1589d5ba5008966430.jpg,"['bayside furnishings 7-piece counter...', 'sold', 'los angeles, ca']",Used (normal wear),"The drop leaves allow you to do the conversion quickly and easily.

The table features a lower storage shelf while the chairs feature bonded black leather upholstery.

Dimensions of table: 45″ to 65″ W x 36″ H

Dimensions of chair: 19″ W  x 22″ D x 42″ H

The Bayside Furnishings 7-Piece Counter Height 

PICK UP RESEDA AREA SERIOUS BUYERS ONLY PLZ DON'T WASTE MY TIME. 91335. Make an offer!",https://photos.offerup.com/Gp4F_yFq8rBQzm0_8J0MzYxGlTY=/600x450/6ffd/6ffd1ddfb0244c1589d5ba5008966430.jpg,2019-06-21 19:52:01.304979,1.0,580.0
