id,url,img,info,condition,description,imgurl,postdate,time_since_posting,price
703040916,https://offerup.com/item/detail/703040916/,https://photos.offerup.com/2JL6dvq_SUnFbQB1MS0zmr7pTIs=/300x400/1188/1188f3c83f384e5ea2f3587bcea99c64.jpg,"['patio table', 'sold', 'bell gardens, ca']",Used (normal wear),"Free must come pick up 
Table with 4 chairs!!! 
Today only !!! . Make an offer!",https://photos.offerup.com/3siS4BEA-Bcy9WIpWqSBKRUIbyU=/600x800/1188/1188f3c83f384e5ea2f3587bcea99c64.jpg,2019-06-27 17:02:21.352824,0.125,0.0
702791742,https://offerup.com/item/detail/702791742/,https://photos.offerup.com/8rlCPTM0Y_5DZqIuDLGP45i_w54=/300x400/ef76/ef7627c14b2d4e0aaff8093e4db086e1.jpg,"['17 pcs plastic chairs', 'sold', 'long beach, ca']",Used (normal wear),17 pcs plastic chairs. Make an offer!,https://photos.offerup.com/5s-2Zs-kymgHlmqMqnAHwjTLra4=/600x800/ef76/ef7627c14b2d4e0aaff8093e4db086e1.jpg,2019-06-27 10:02:21.352824,0.41666666666666663,25.0
702685383,https://offerup.com/item/detail/702685383/,https://photos.offerup.com/NkCMdFIo1QpssWs7mKsVbgBJGp8=/300x400/4fdd/4fdd5487c81f4b2c9cb1ecfaa45a408f.jpg,"['patio furniture', 'sold', 'compton, ca']",Used (normal wear),"7 pcs. Set. 6 chairs, 1 table with a glass top . 
Brand new I bought it less than 6 months ago. You can move them any way you want. Never been exposed to the weather. 2 sets of cushions. The original beige and a custom made green ones. Just the extra cushions were $300. I’ll even throw a fire pit for free with a propane tank. . Make an offer!",https://photos.offerup.com/wt4WuGGUtAjOw0_MYvn29SNQZsM=/600x800/4fdd/4fdd5487c81f4b2c9cb1ecfaa45a408f.jpg,2019-06-27 00:02:21.352824,0.8333333333333333,450.0
702490168,https://offerup.com/item/detail/702490168/,https://photos.offerup.com/zQ26yUy2C64uwRNRPZ-6HzG-1Cc=/300x432/94e0/94e01afbf3414e2f9d75799daa88619f.jpg,"['tilton square tufted arm chair -thr...', 'sold', 'pasadena, ca']",New (never used),Great price !!! Beautiful pink chair ! 64.99. Make an offer!,https://photos.offerup.com/RV2NAggc2yJ3x7CG_kzDaWcsfBU=/600x864/94e0/94e01afbf3414e2f9d75799daa88619f.jpg,2019-06-26 20:02:21.352824,1.0,65.0
702451349,https://offerup.com/item/detail/702451349/,https://photos.offerup.com/13oySyl62BFxvJenXupAsIUpb2Y=/300x532/9cb6/9cb66a0fd7ce4c8389bea3ec26e9f1db.jpg,"['chair', 'sold', 'los angeles, ca']",Other (see description),Chair. Make an offer!,https://photos.offerup.com/EEXnXs9pvjFSTGGog1z5VjwqXWc=/600x1064/9cb6/9cb66a0fd7ce4c8389bea3ec26e9f1db.jpg,2019-06-26 20:02:21.352824,1.0,75.0
702338448,https://offerup.com/item/detail/702338448/,https://photos.offerup.com/G8TIB_ArNkTwMg7KeEFuQZbog14=/300x400/2f29/2f29e63c26c545419b3741c9d00a2cf0.jpg,"['2 wingback chairs - can be sold ind...', '$275.00', 'los angeles, ca']",Used (normal wear),MOVING SALE - MUST SELL ASAP. 2 wingback armchairs for sale. Have only had for 6 months. In great condition. Pet free home. $150 each or $275 for both. Dimensions are included in pictures from Wayfair. Located in Sherman Oaks.. Make an offer!,https://photos.offerup.com/ShsZnd56Ckgnbx9E5VQu1eLGyik=/600x800/2f29/2f29e63c26c545419b3741c9d00a2cf0.jpg,2019-06-26 20:02:21.352824,1.0,275.0
701800724,https://offerup.com/item/detail/701800724/,https://photos.offerup.com/Oc-TDKWoYairs-IycDS7v19iffg=/300x355/6f36/6f3647b86d40490589473914a8af0569.jpg,"['pair of mcguire rattan chairs', 'sold', 'los angeles, ca']",Used (normal wear),Bulls Eye Wicker Bamboo chairs. Make an offer!,https://photos.offerup.com/UZ54-aoiHknMHQfFxYqX8EvyOv0=/600x711/6f36/6f3647b86d40490589473914a8af0569.jpg,2019-06-25 20:02:21.352824,2.0,399.0
701581310,https://offerup.com/item/detail/701581310/,https://photos.offerup.com/MWuDAZdnYN4_EsjXx-HIMdXHeSw=/300x500/8ef8/8ef8ee75e6c242f780396503f479a4f2.jpg,"['dining table', 'sold', 'santa monica, ca']",Used (normal wear),Comes with expandable leaf to go from circular to oval. No chairs. . Make an offer!,https://photos.offerup.com/yetFvoLG-yasb0xt9R4leqfkGzE=/600x1001/8ef8/8ef8ee75e6c242f780396503f479a4f2.jpg,2019-06-25 20:02:21.352824,2.0,25.0
701514830,https://offerup.com/item/detail/701514830/,https://photos.offerup.com/UWvrhegWVm8AMACVS1Jm3CF3Un0=/300x179/0b8f/0b8f634a707140809ae3e0bbfdfe9de9.jpg,"['mid-century glass dining set with c...', 'sold', 'porter ranch, ca']",Used (normal wear),Mid-century dining table and chairs. MUST SELL QUICKLY!!!. Make an offer!,https://photos.offerup.com/N8L17bpta5E96S_fGqwP31_l4tw=/511x305/0b8f/0b8f634a707140809ae3e0bbfdfe9de9.jpg,2019-06-25 20:02:21.352824,2.0,600.0
701463667,https://offerup.com/item/detail/701463667/,https://photos.offerup.com/ECPz8sufiRi1_2ZhVuZkWdCOQd0=/300x225/9f5d/9f5dfc3aa73f4a21be38d88d1c71ddc6.jpg,"['(sales pending) 3-piece leather sof...', 'sold', 'los angeles, ca']",Used (normal wear),"Excellent condition! No tear at all. 2 Sofa Couch pieces are hardly used. Chair get more mileage, but still firm and comfortable. Coffee Table sold separately for $50.

Available for Pick Up ONLY, at Northridge (by CSUN).

68"" x 37"" x 32""(H)
53"" x 37"" x 32""(H)
40"" x 37"" x 32""(H). Make an offer!",https://photos.offerup.com/B2u5R7o4cCseZXavBDa_XkTHwVU=/600x450/9f5d/9f5dfc3aa73f4a21be38d88d1c71ddc6.jpg,2019-06-25 20:02:21.352824,2.0,275.0
701411877,https://offerup.com/item/detail/701411877/,https://photos.offerup.com/iKgIs4HYVWjDRvl1kiNahIH6vxw=/300x238/23e2/23e28c997fd6417c8832acc159493b02.jpg,"['table and 4 chair set', 'sold', 'los angeles, ca']",Used (normal wear),"IKEA Bjursta Table (Originally $119)
4 Chair Set with Blue Seat Covers
Set of place mats included if desired
Pick up only. Make an offer!",https://photos.offerup.com/bDD5fGDyvkocDsboS50aKW5a8e8=/600x477/23e2/23e28c997fd6417c8832acc159493b02.jpg,2019-06-25 20:02:21.352824,2.0,100.0
701067476,https://offerup.com/item/detail/701067476/,https://photos.offerup.com/ET0Wt70JoqV9J6NsettRe6jrX-Y=/300x508/3784/37846e9a1bc54b1aaec7a3a5e910b018.jpg,"['wood dining table with a set of six...', 'sold', 'santa monica, ca']",Used (normal wear),"A slightly wider table with plenty of space for meals, homework, crafts, and other everyday activities.
Solid wood, veneer and steel are durable materials that are easy to keep clean.
The table surface in ash veneer and legs in solid birch give a warm, natural feeling to your room.


Seats:4-6 people

Great deal! It includes a set of six wood chairs (as shown in picture) 

Table Dimensions:
Length: 55 1/8 ""
Width: 30 3/4 ""
Height: 29 1/8 ""


Chair Dimensions: 
Width: 19 1/4 ""
Depth: 20 1/2 ""
Height: 33 7/8 ""
Seat width: 15 ""
Seat depth: 15 ""
Seat height: 17 3/4 "". Make an offer!",https://photos.offerup.com/ib40x2mV93vRGEpsNhzRD0D1mOI=/600x1017/3784/37846e9a1bc54b1aaec7a3a5e910b018.jpg,2019-06-24 20:02:21.352824,3.0,220.0
701027193,https://offerup.com/item/detail/701027193/,https://photos.offerup.com/6ovmsJ9u82n1lqwtnrg6YRMdMYg=/300x400/4e60/4e60133bfdb84f6cac8bf47d5441b09c.jpg,"['2 mid-century style chairs', 'sold', 'los angeles, ca']",Used (normal wear),"Two (2) Blonde Wood Mid-Century style Chairs 

We used as dining chairs for a few months. 
Plastic caps in the base of the legs protect wood floors - we have a bunch extra we can throw in for you. 

Selling both for $20 

Located near Western & Vernon in South Central, about a mile west of USC . Make an offer!",https://photos.offerup.com/-h7QVfi_KQPXu1qY8qxqibOxdEI=/600x800/4e60/4e60133bfdb84f6cac8bf47d5441b09c.jpg,2019-06-24 20:02:21.352824,3.0,20.0
700787166,https://offerup.com/item/detail/700787166/,https://photos.offerup.com/GQyS7II996qN7LSQm3kuKBWwLiM=/300x533/317c/317c9daa8763441780c8f464f69ae398.jpg,"['free wood chair', 'sold', 'hazard, ca']",Used (normal wear),FREE Wood chair. Make an offer!,https://photos.offerup.com/jQaQj9jP0w0fJXHi3eaCAvz4wAU=/600x1066/317c/317c9daa8763441780c8f464f69ae398.jpg,2019-06-23 20:02:21.352824,4.0,0.0
700727370,https://offerup.com/item/detail/700727370/,https://photos.offerup.com/9nXQs1EDozU0MbGvk_mF4-SXS3g=/300x400/b3fd/b3fde7c2747844d9bf32c45112016e7e.jpg,"['bar height chairs', 'sold', 'moorpark, ca']",Used (normal wear),Used bar height chair.  I have 10 total.. Make an offer!,https://photos.offerup.com/vy5NNy6qNPVvtCr11CEsl-6xBaA=/600x800/b3fd/b3fde7c2747844d9bf32c45112016e7e.jpg,2019-06-23 20:02:21.352824,4.0,10.0
700530842,https://offerup.com/item/detail/700530842/,https://photos.offerup.com/pIAzHd2YovE2T_AO4nlIJBFVUx0=/300x258/9c1c/9c1c26112b634d258733f86d9b93e03a.jpg,"['lobby or living room furniture', 'sold', 'pasadena, ca']",Open box (never used),"Includes, Frame, Two sofa chairs, lamp, two side chairs, & table.  . Make an offer!",https://photos.offerup.com/gAN3-_szAb8wkZGmB7R0kUvTDNc=/525x453/9c1c/9c1c26112b634d258733f86d9b93e03a.jpg,2019-06-23 20:02:21.352824,4.0,350.0
699559450,https://offerup.com/item/detail/699559450/,https://photos.offerup.com/UhCNz-LgYHnBeQ63GVsnKJE-WXo=/300x225/7170/7170d8492c10400f9f78f748aa6a791c.jpg,"['exceptional pair of danish modern t...', 'sold', 'long beach, ca']",Used (normal wear),"An exceptional pair of authentic Danish Modern Teak Lounge Chairs Made in Denmark by Moreddi in excellent condition with new straps and new upholstery.  These great looking and very comfortable chairs feature broad Teak Cigar shaped arms and elegant spindle backs and look great from all angles.  The straps and upholstery are new and are in excellent condition on both chairs.  The frames are strong and sturdy.  Each chair is marked with the Moreddi logo as pictured.  1 arm 1 1 of the chairs has some very faint watermarks as pictured which are not very notable but should be menti1d.  The backrest of 1 chair has 2 minor chips as pictured which are not notables as they are on the part of the backrest that is covered by the cushion so they are not visible at all when the chairs are in use.  Overall these chairs show very nicely and are among the nicest Danish Lounge Chairs we have found.  They will be a wonderful addition to any mid century interior.  Each chair measures 29"" tall to the back and is 30"" wide by 29"" deep with a seat h8 of 18"".  $1250 for the pair.  Delivery is available.  Please email with any questions!

Located in Long Beach.  Email text or call {contact info removed} if you are interested.

danish modern mid century eames mcm hans wegner moreddi etc.. Make an offer!",https://photos.offerup.com/eTO9A1KrpNG5hD8ImiNs337m28E=/600x450/7170/7170d8492c10400f9f78f748aa6a791c.jpg,2019-06-21 20:02:21.352824,6.0,1250.0
699553774,https://offerup.com/item/detail/699553774/,https://photos.offerup.com/YVnKBGRyx8pKp8Uqwl2tPltNWBo=/300x382/354d/354d0f7db5604c34836420e5b7bc9493.jpg,"['table and two chairs', 'sold', 'long beach, ca']",Used (normal wear),The table and chairs are in great shape. Make an offer!,https://photos.offerup.com/gon21N22LdxqWDC8p-Z1BC8hM4E=/600x765/354d/354d0f7db5604c34836420e5b7bc9493.jpg,2019-06-21 20:02:21.352824,6.0,35.0
