id,url,img,info,condition,description,imgurl,postdate,time_since_posting,price
702921753,https://offerup.com/item/detail/702921753/,https://photos.offerup.com/WEV_CMzotayYyFtBZpT9ySQnnnc=/300x400/4988/4988490614a14779a29d2adf32e84359.jpg,"['high chair dining set', 'sold', 'los angeles, ca']",Used (normal wear),"2 chair dining table
$ 70.. Make an offer!",https://photos.offerup.com/l_vNDsbjSlH2vf-omxfbNKfCNe4=/600x800/4988/4988490614a14779a29d2adf32e84359.jpg,2019-06-27 13:32:40.377451,0.20833333333333331,70.0
702487399,https://offerup.com/item/detail/702487399/,https://photos.offerup.com/IQCE6vEavXr1NEfSj5yd_w_zaGA=/300x225/68b7/68b7af77633649c89a16c864944b5a05.jpg,"['ikea dinning set great condition ( ...', 'sold', 'los angeles, ca']",New (never used),"IKEA Dinning set (4 chair+ table) for only 70$
Original price 129+ tax
Great condition 
Beautiful set
If you’re interested, let me know 😃
First come first serve . Make an offer!",https://photos.offerup.com/2rWcw2Lo_AAkwRHGgG9JfZlX1lA=/600x450/68b7/68b7af77633649c89a16c864944b5a05.jpg,2019-06-26 18:32:40.377451,1.0,70.0
702164411,https://offerup.com/item/detail/702164411/,https://assets.offerup.com/web/images/placeholder.c791e19f.png,"['40” (1) round table with (4) chairs', 'sold', 'long beach, ca']",Used (normal wear),"Details: 40” D X 36” H, From Cost Plus World Market. Table and chairs are not sold seprately. 

Price: $145.00 OBO. Table and chairs are not sold separately. 


Policy: If a customer is interested in viewing any merchandise, it’s by appointment only. There’s a fee for any “holding merchandise” and it requires 1/2 deposit in cash or we offer Venmo, Square and PayPal for your convenience.. Make an offer!",https://photos.offerup.com/kFg917ndpOsP9DRWUbhL06hzWrk=/600x513/9958/9958477cd4c04b76b1824ddf152019a2.jpg,2019-06-26 18:32:40.377451,1.0,145.0
701676044,https://offerup.com/item/detail/701676044/,https://photos.offerup.com/QOq8Tf9hKGhJg88uK_EZn29Jxf4=/300x533/4570/45706a6caaad4ed6ad59dcc37256236b.jpg,"['white vanity table', 'sold', 'los angeles, ca']",Used (normal wear),Don't need this vanity desk anymore . Make an offer!,https://photos.offerup.com/P6PLyd_MKmYut5dzZvvcOIPWnSk=/600x1066/4570/45706a6caaad4ed6ad59dcc37256236b.jpg,2019-06-25 18:32:40.377451,2.0,30.0
701522847,https://offerup.com/item/detail/701522847/,https://photos.offerup.com/xhjiynSnP0SEgoTU7hZyJcHhPpk=/300x400/f1ac/f1acf3fadd4241e48b9967dd1524c2e4.jpg,"['coffee table & side table set', 'sold', 'los angeles, ca']",Used (normal wear),"Lift top Coffee table  is 43” l x 19.75” w x 19.25”d
End table is 14.5 w x 22.5 l x 25 h. Make an offer!",https://photos.offerup.com/3xlkN96AxEnWrGv-SaBcoiDPeGk=/600x800/f1ac/f1acf3fadd4241e48b9967dd1524c2e4.jpg,2019-06-25 18:32:40.377451,2.0,200.0
701441361,https://offerup.com/item/detail/701441361/,https://photos.offerup.com/4XKN2gm1X9wQ1J0pkVyWz16fuKg=/300x400/dd6d/dd6d6989c3b44aa29fa0126e4f09d30a.jpg,"['kitchen table', 'sold', 'long beach, ca']",Used (normal wear),47.5” circle   Wood and iron . Make an offer!,https://photos.offerup.com/JaSRoULxCz8ovjr55896MPA-70o=/600x800/dd6d/dd6d6989c3b44aa29fa0126e4f09d30a.jpg,2019-06-25 18:32:40.377451,2.0,30.0
701041443,https://offerup.com/item/detail/701041443/,https://photos.offerup.com/5kKkP35_PCyPduxkG69_ccDKZS4=/300x225/023f/023fc263abe64dbba127182dcb95c410.jpg,"['flash furniture black metal indoor/...', 'sold', 'los angeles, ca']",Used (normal wear),"Signs of use visible in one corner that has a dent. I’m sure there are ways to fix that with the amazing internet! ;) 

Normally over $400 for the table

63 x 31.5 x 29.5 inches

Price firm! . Make an offer!",https://photos.offerup.com/d6cIZ3eqf4TunVb4FVOnZpeQP0Y=/600x450/023f/023fc263abe64dbba127182dcb95c410.jpg,2019-06-24 18:32:40.377451,3.0,75.0
700669570,https://offerup.com/item/detail/700669570/,https://photos.offerup.com/sp27DfJHm2Z3lcP5xFHqQrbbhJw=/300x400/d96b/d96b01771c654dd1bebf362439cc0946.jpg,"['tables for sale', 'sold', 'los angeles, ca']",Used (normal wear),"2 woody tables for sale 
2 different sizes 
Pick up only 
. Make an offer!",https://photos.offerup.com/IeqVw_ZhpRUS5n-DAhsR0hFFGpg=/600x800/d96b/d96b01771c654dd1bebf362439cc0946.jpg,2019-06-23 18:32:40.377451,4.0,40.0
702626361,https://offerup.com/item/detail/702626361/,https://photos.offerup.com/YVQwtp3_PWLek4PiIQa0lDKa55Q=/300x533/c000/c0000d4793274686bb67234f8490245f.jpg,"['entry table or tv stand', 'sold', 'long beach, ca']",Used (normal wear),"Good condition, has some wear at bottom only. . Make an offer!",https://photos.offerup.com/4vkNVQv1d7IbZ2R8Q4fWO6Cs1DA=/600x1066/c000/c0000d4793274686bb67234f8490245f.jpg,2019-06-26 21:32:40.377451,0.875,15.0
702548547,https://offerup.com/item/detail/702548547/,https://photos.offerup.com/Ah_2kiKI7m8xppfNW5phvvqR0DU=/300x400/6b21/6b21f0566da54b1db9e4edf69715d11e.jpg,"['queen size bedroom set w/ memory fo...', 'sold', 'alhambra, ca']",Used (normal wear),"Like new queen bedroom set / w memory foam mattress, dresser, and side tables.. Make an offer!",https://photos.offerup.com/AxroPKSU2SF9bmXyh_qgEPiQZVE=/600x800/6b21/6b21f0566da54b1db9e4edf69715d11e.jpg,2019-06-26 19:32:40.377451,0.9583333333333333,500.0
702455407,https://offerup.com/item/detail/702455407/,https://photos.offerup.com/mr0agwE1YVfLo0o1ANcxp3tlxBk=/300x225/72c6/72c62ee47da84c6f9ac6e0156d336b2d.jpg,"['coffe table', 'sold', 'santa clarita, ca']",Used (normal wear),Coffe table. Make an offer!,https://photos.offerup.com/xxwEbwRxYz14LahrfOy-EciEWV0=/600x450/72c6/72c62ee47da84c6f9ac6e0156d336b2d.jpg,2019-06-26 18:32:40.377451,1.0,50.0
702454045,https://offerup.com/item/detail/702454045/,https://photos.offerup.com/Jf6uDZz8Iz47vFZPYOmZRTXwDnI=/300x532/7910/79102c5482fd4a528c8ac24d6cfca0ee.jpg,"['table', 'sold', 'los angeles, ca']",Other (see description),Table. Make an offer!,https://photos.offerup.com/30zTN8-nSbgpRwdYF0kS5w5ggiM=/600x1064/7910/79102c5482fd4a528c8ac24d6cfca0ee.jpg,2019-06-26 18:32:40.377451,1.0,100.0
702235282,https://offerup.com/item/detail/702235282/,https://photos.offerup.com/Keg2kIH5dfCs0Tg_LE8JWbjCewQ=/300x400/e600/e6000d1e220944c2a36830cdc7808406.jpg,"['ikea full size bed with bedside tab...', 'sold', 'los angeles, ca']",Used (normal wear),"buy full size bed(frame and mattress), get bedside table free(pick up 7.7～7.14 only) 
btw, the closet under the bed is loose. Make an offer!",https://photos.offerup.com/o3YNSQay2b4tifJ0s6bSqymX6oE=/600x800/e600/e6000d1e220944c2a36830cdc7808406.jpg,2019-06-26 18:32:40.377451,1.0,80.0
